iter	Passed	Remaining
1416	15615	17445
1417	15628	17436
1418	15640	17426
1419	15652	17415
1420	15664	17406
1421	15673	17393
1422	15687	17385
1423	15700	17376
1424	15713	17367
1425	15724	17356
1426	15736	17346
1427	15750	17338
1428	15763	17329
1429	15774	17318
1430	15785	17307
1431	15795	17296
1432	15810	17288
1433	15823	17279
1434	15834	17268
1435	15846	17259
1436	15856	17246
1437	15867	17236
1438	15882	17229
1439	15895	17219
1440	15908	17210
1441	15919	17199
1442	15930	17189
1443	15943	17180
1444	15956	17171
1445	15968	17161
1446	15983	17154
1447	15995	17144
1448	16007	17133
1449	16016	17120
1450	16028	17111
1451	16040	17100
1452	16047	17085
1453	16059	17075
1454	16070	17064
1455	16082	17054
1456	16092	17042
1457	16105	17033
1458	16120	17026
1459	16130	17014
1460	16142	17004
1461	16154	16993
1462	16164	16982
1463	16176	16972
1464	16188	16962
1465	16201	16952
1466	16215	16944
1467	16227	16935
1468	16239	16925
1469	16249	16913
1470	16258	16899
1471	16268	16887
1472	16282	16879
1473	16295	16870
1474	16305	16858
1475	16317	16847
1476	16325	16833
1477	16335	16822
1478	16345	16809
1479	16357	16799
1480	16368	16788
1481	16376	16774
1482	16390	16766
1483	16404	16757
1484	16418	16750
1485	16431	16741
1486	16442	16730
1487	16454	16719
1488	16466	16709
1489	16480	16701
1490	16492	16691
1491	16505	16682
1492	16515	16670
1493	16526	16659
1494	16536	16646
1495	16545	16634
1496	16558	16624
1497	16571	16615
1498	16582	16604
1499	16594	16594
1500	16607	16585
1501	16621	16577
1502	16632	16565
1503	16643	16555
1504	16655	16544
1505	16666	16533
1506	16677	16522
1507	16689	16511
1508	16698	16499
1509	16712	16490
1510	16724	16480
1511	16735	16469
1512	16748	16460
1513	16759	16449
1514	16769	16437
1515	16779	16425
1516	16789	16413
1517	16801	16403
1518	16814	16393
1519	16827	16384
1520	16837	16372
1521	16852	16365
1522	16862	16353
1523	16875	16343
1524	16887	16333
1525	16901	16325
1526	16914	16316
1527	16924	16304
1528	16934	16292
1529	16948	16283
1530	16958	16271
1531	16968	16259
1532	16982	16251
1533	16997	16244
1534	17008	16233
1535	17021	16224
1536	17035	16215
1537	17047	16205
1538	17059	16194
1539	17069	16183
1540	17083	16174
1541	17094	16163
1542	17107	16154
1543	17119	16143
1544	17132	16134
1545	17145	16124
1546	17154	16112
1547	17164	16100
1548	17175	16089
1549	17186	16077
1550	17198	16067
1551	17211	16057
1552	17220	16045
1553	17231	16033
1554	17240	16021
1555	17255	16012
1556	17268	16004
1557	17279	15992
1558	17294	15985
1559	17305	15974
1560	17320	15966
1561	17335	15959
1562	17348	15949
1563	17363	15942
1564	17382	15938
1565	17399	15932
1566	17411	15922
1567	17429	15917
1568	17444	15910
1569	17456	15900
1570	17468	15889
1571	17481	15880
1572	17490	15866
1573	17502	15857
1574	17514	15846
1575	17529	15838
1576	17540	15828
1577	17550	15815
1578	17562	15805
1579	17572	15792
1580	17584	15782
1581	17597	15773
1582	17608	15762
1583	17625	15755
1584	17634	15743
1585	17650	15736
1586	17663	15726
1587	17673	15714
1588	17685	15704
1589	17700	15696
1590	17712	15685
1591	17724	15676
1592	17735	15664
1593	17747	15654
1594	17757	15642
1595	17764	15627
1596	17780	15620
1597	17791	15608
1598	17801	15597
1599	17813	15586
1600	17825	15576
1601	17838	15566
1602	17849	15555
1603	17863	15546
1604	17872	15534
1605	17881	15521
1606	17895	15512
1607	17905	15500
1608	17918	15490
1609	17932	15481
1610	17945	15472
1611	17956	15461
1612	17970	15452
1613	17984	15443
1614	17994	15431
1615	18005	15420
1616	18019	15411
1617	18030	15400
1618	18043	15390
1619	18056	15381
1620	18067	15369
1621	18081	15361
1622	18092	15350
1623	18105	15340
1624	18116	15329
1625	18129	15320
1626	18143	15311
1627	18156	15301
1628	18168	15290
1629	18176	15277
1630	18187	15266
1631	18197	15253
1632	18209	15243
1633	18220	15232
1634	18232	15221
1635	18247	15213
1636	18260	15204
1637	18270	15192
1638	18283	15182
1639	18294	15171
1640	18303	15158
1641	18315	15147
1642	18328	15138
1643	18340	15127
1644	18352	15117
1645	18364	15106
1646	18378	15097
1647	18388	15086
1648	18397	15072
1649	18412	15064
1650	18426	15055
1651	18437	15044
1652	18450	15035
1653	18462	15024
1654	18475	15014
1655	18487	15003
1656	18497	14992
1657	18509	14981
1658	18519	14969
1659	18533	14960
1660	18544	14949
1661	18555	14938
1662	18565	14925
1663	18577	14915
1664	18589	14905
1665	18601	14894
1666	18611	14882
1667	18623	14871
1668	18633	14859
1669	18648	14851
1670	18657	14838
